Gene,UniProt,Sample type,Tissue,Species,Repository,Reference,Confidence Score,Description,Coverage Map File,Total Ion Intensity
Col1a2,Q01149,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,21318.7,Collagen alpha-2(I) chain,Bronchoalveolar lavage of fibrotic lung_Q01149.html,215998000
Col1a2,Q01149,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,21318.7,Collagen alpha-2(I) chain,Normal lung_Q01149.html,3130220030
Col1a2,Q01149,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,21318.7,Collagen alpha-2(I) chain,Normal lung_Q01149.html,3130220030
Col1a2,Q01149,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,21318.7,Collagen alpha-2(I) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q01149.html,18883799000
Col1a2,Q01149,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,21318.7,Collagen alpha-2(I) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q01149.html,8682510300
Col1a1,P11087,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18860.8,Collagen alpha-1(I) chain,Bronchoalveolar lavage of fibrotic lung_P11087.html,225063008
Col1a1,P11087,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,18860.8,Collagen alpha-1(I) chain,Normal lung_P11087.html,2426040060
Col1a1,P11087,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,18860.8,Collagen alpha-1(I) chain,Normal lung_P11087.html,2426040060
Col1a1,P11087,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,18860.8,Collagen alpha-1(I) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P11087.html,22285199400
Col1a1,P11087,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,18860.8,Collagen alpha-1(I) chain,Normal lung ECM (Quantitative detergent solubility profiling)_P11087.html,11298400300
Lama5,Q61001,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,14911.0,Laminin subunit alpha-5,Normal lung_Q61001.html,5290149900
Lama5,Q61001,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,14911.0,Laminin subunit alpha-5,Normal lung_Q61001.html,5290149900
Lama5,Q61001,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,14911.0,Laminin subunit alpha-5,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61001.html,1222419970
Lama5,Q61001,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,14911.0,Laminin subunit alpha-5,Normal lung ECM (Quantitative detergent solubility profiling)_Q61001.html,7142240300
Serpina1a,P07758,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,11067.2,Alpha-1-antitrypsin 1-1,Bronchoalveolar lavage of fibrotic lung_P07758.html,667376030000
Serpina1a,P07758,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,11067.2,Alpha-1-antitrypsin 1-1,Bronchoalveolar lavage of normal lung_P07758.html,19527499800
Serpina1a,P07758,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,11067.2,Alpha-1-antitrypsin 1-1,Normal lung ECM (Quantitative detergent solubility profiling)_P07758.html,1022870020
